LOT,NO,변환,생산량,제품명,코멘트,결점종류,X좌표,Y좌표,Y사이즈,X사이즈,사이즈,밸류,마킹레벨
20220324CC02022,10074,20220324CC0202210074,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1316,1054069,0.322,0.25,0.286,46,10
20220324CC02022,10085,20220324CC0202210085,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1283,1068633,0.322,0.3,0.311,33,10
20220324CC02022,10123,20220324CC0202210123,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1277,1104429,0.269,0.3,0.2845,73,10
20220324CC02022,10148,20220324CC0202210148,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1290,1124340,0.269,0.35,0.3095,57,3
20220324CC02022,10164,20220324CC0202210164,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1256,1134226,0.322,0.2,0.261,40,10
20220324CC02022,10241,20220324CC0202210241,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1324,1201540,0.269,0.35,0.3095,36,10
20220324CC02022,10324,20220324CC0202210324,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1321,1285875,0.269,0.25,0.2595,53,10
20220324CC02022,10357,20220324CC0202210357,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1315,1317694,0.269,0.4,0.3345,33,10
20220324CC02022,10383,20220324CC0202210383,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1265,1353834,0.215,0.35,0.2825,56,10
20220324CC02022,10426,20220324CC0202210426,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1294,1436451,0.322,0.4,0.361,43,3
20220324CC02022,10442,20220324CC0202210442,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1264,1453256,0.322,0.45,0.386,36,10
20220324CC02022,10467,20220324CC0202210467,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1269,1458252,0.269,0.45,0.3595,37,10
20220324CC02022,10567,20220324CC0202210567,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1263,1465660,0.322,0.35,0.336,50,3
20220324CC02022,10632,20220324CC0202210632,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1310,1468195,0.269,0.4,0.3345,47,3
20220324CC02022,10655,20220324CC0202210655,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1260,1469610,0.376,0.35,0.363,35,10
20220324CC02022,7618,20220324CC020227618,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1128,1508965,0.269,0.25,0.2595,31,10
20220324CC02022,7623,20220324CC020227623,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1246,143,0.215,0.35,0.2825,45,10
20220324CC02022,7624,20220324CC020227624,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1256,179,0.215,0.35,0.2825,54,10
20220324CC02022,7673,20220324CC020227673,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1326,43563,0.322,0.3,0.311,39,10
20220324CC02022,7676,20220324CC020227676,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1283,45031,0.269,0.35,0.3095,46,3
20220324CC02022,7852,20220324CC020227852,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1250,121039,0.215,0.35,0.2825,35,10
